date,session_type,activities,duration_min,rounds,round_length_min,intensity,feeling_score,focus,sparring,comment
2026-06-13,Boxing training,Sparring,90.0,6,2.0,6,6,,Yes,
2026-06-13,Boxing training,Sparring,90.0,3,3.0,7,7,,Yes,
2026-06-14,Boxing training,Pad work | Bag work,90.0,0,0.0,7,7,,No,
